Country,Continent,RegionUN,SubregionUN,percent_undernourishment1991,percent_undernourishment2000,percent_undernourishment2010,percent_undernourishment2014,fruitandveg_gram1990,fruitandveg_gram2000,fruitandveg_gram2010,fruitandveg_gram2011,percent_nonstaples1991,percent_nonstaples2000,percent_nonstaples2009,gender_inequality_index,gender_inequality_rank,Year_PhysicianDensity,Ratio_Physician,Year_CHWdensity,Ratio_CHWdensity,Year_NursesMidwivesDensity,Ratio_NursesMidwivesDensity,year_earlychildbearing,percent_earlychildbearing,A1990_femaleED,A2000_femaleED,A2010_femaleED,A2011_13_femaleED,waterpiped1990,waterOtherIm1990,waterotherUnIm1990,watersurface1990,waterpiped2000,waterOtherIm2000,waterotherUnIm2000,watersurface2000,waterpiped2012,waterOtherIm2012,waterotherUnIm2012,watersurface2012,SantotalIm1990,Sanshared1990,SanOtherUnIm1990,SanDefecation1990,SantotalIm2000,Sanshared2000,SanOtherUnIm2000,SanDefecation2000,SantotalIm2012,Sanshared2012,SanOtherUnIm2012,SanDefecation2012,agriculture1990_govspend,education1990_govspend,health1990_govspend,socialprotection1990_govspend,agriculture2000_govspend,education2000_govspend,health2000_govspend,socialprotection2000_govspend,agriculture2010_govspend,education2010_govspend,health2010_govspend,socialprotection2010_govspend,agriculture2012_govspend,education2012_govspend,health2012_govspend,socialprotection2012_govspend
France,Europe,Europe,Western Europe,,,,,566,566,586,586,73,72,71,0.08,12,2012,3.18,,,2011,9.3,,,99.014,106.59997,110.51726,110.1696701,98.7,1.3,0,0,99.7,0.3,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0.687368572,13.74737167,15.09733486,44.07036591,,11.44990063,13.64806747,39.6285553,,10.58337688,14.12073135,42.65859222,,,,
Gabon,Africa,Africa,Middle Africa,9.5,5.9,6,,567,559,594,536,54,51,48,0.508,108,2004,0.292,,,2004,5.017,2012,27.8,,,,,,,,,39.4,44.4,5.5,10.7,61,31.2,2.5,5.2,,,,,38.8,31,28.2,2,41.4,33.8,23,1.8,,,,,,,,,,,,,,,,
Gambia,Africa,Africa,Western Africa,18.2,19.4,13,6,93,112,131,112,42,45,38,0.624,139,2008,0.107,2008,0.705,2008,0.865,2010,23.1,11.06455,,55.97041,,11,64.8,24.1,0.1,20.2,62.6,17.1,0.1,32.3,57.8,9.9,0,,,,,60.9,21.3,12.9,5,60.2,22.4,15.6,1.8,5.97014904,11.44335175,6.475576401,2.767978191,,,,,,,,,,,,
Georgia,Asia,Asia,Western Asia,,,,9.800000191,,344,253,257,,,,,,2012,4.236,,,2009,3.217,2010,6.1,,78.22438,,,53.3,31.6,14.9,0.1,61.2,28.1,10.6,0.1,79.8,19,1.3,0,96.5,2,0.6,1,95.4,1.9,1.7,1.1,93.3,1.9,3.8,1.1,,,,,1.667344451,,,,0.42743808,7.952555656,6.545638084,20.16056633,,,,
Germany,Europe,Europe,Western Europe,,,,,520,555,455,478,74,72,72,0.046,3,2011,3.806,,,2011,11.489,,,,95.54814,99.04003,98.48339081,99.2,0.8,0,0,99.7,0.3,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,1.462551117,1.789700627,15.234725,43.32157135,0.791673958,9.007321358,14.70282459,46.63728333,0.497575372,8.966477394,15.0360527,43.12629318,,,,
Ghana,Africa,Africa,Western Africa,44.4,17.8,,,221,394,563,581,32,31,36,0.549,123,2010,0.096,2008,0.192,2010,0.926,2011,16.2,28.57595,36.86875,,58.19514847,16.3,38.1,9.8,35.8,18,52.8,9.1,20.1,19.2,67.9,8.1,4.7,7,29.3,41.3,22.3,10.3,42.7,25.9,21,14.4,58.8,7.8,18.9,4.101858616,25.47844505,10.10177994,7.226391792,0.691029966,14.7774086,2.950166225,0.000385382,,,,,,,,
Greece,Europe,Europe,Southern Europe,,,,,1164,1241,940,967,67,67,68,0.146,27,2001,4.38,,,2001,0.175,,,93.16874,92.27897,108.22251,106.3422089,92,4.2,3.8,,97.8,1.2,1.1,,99.5,0.3,0.2,,96.6,,0.3,3.1,98.2,,0.3,1.6,98.6,,0.2,1.1,4.853538513,6.984208107,2.099847078,34.15537262,0.997714579,6.110325336,8.387553215,36.42621231,0.080553368,7.509850025,14.89974594,35.77707672,,,,
Grenada,Americas,Latin America and the Caribbean,Caribbean,17.5,31.6,20.6,,485,430,469,417,70,71,76,,,2006,0.663,2003,0.563,2006,3.827,,,96.13498,,109.38505,,,,3.3,0.2,87.9,8.8,3.2,0.2,,,3.1,0.2,98,,1,1,98,,1,1,98,,1,1,,,,,,,,,,,,,,,,
Guatemala,Americas,Latin America and the Caribbean,Central America,16.9,27.2,29.4,14.30000019,298,308,359,357,41,45,49,0.523,112,2009,0.932,,,2009,0.897,2008-2009,21.7,,35.66996,61.96169,62.20569992,48.8,32.6,7,11.6,66.4,21,5.3,7.3,85.6,8.2,3.2,2.9,62,6.1,9.9,22,71,7,8.2,13.8,80.3,8,6.1,5.7,4.221356869,15.21749878,9.232984543,7.525279999,2.431269646,17.60879326,8.151328087,9.653178215,1.976369858,,,,,,,
Guinea,Africa,Africa,Western Africa,18.2,21.1,15.9,18.10000038,527,429,408,403,37,38,36,,,2005,0.1,2005,0.018,2004,0.511,2005,44.1,5.45407,,,29.40506935,5.4,46.9,7.2,40.5,8.4,54.3,12.6,24.7,13,61.8,17.9,7.3,8.3,8.9,41.5,41.3,12.9,13.8,43.3,30.1,18.9,20.6,43.3,17.2,,,,,,,,,,,,,,,,
Guinea-Bissau,Africa,Africa,Western Africa,21.8,22.3,12.3,17.70000076,188,194,199,198,31,29,38,,,2009,0.07,2004,2.917,2009,0.585,2010,33,,12.64168,,,4.2,31.6,60.2,4,4.8,47.1,45.3,2.8,5.2,68.4,24.7,1.7,,,,,12.2,9.4,42.6,35.7,19.7,15,40.7,24.7,,,,,,,,,,,,,,,,
Guyana,Americas,Latin America and the Caribbean,South America,22,7.9,6.5,10,223,512,317,319,44,51,50,0.524,113,2010,0.214,2010,0.326,2010,0.531,2009,15.9,,,106.41146,108.7402191,52.7,24.4,18.6,4.3,59.1,27.1,9.6,4.3,67.3,30.3,1,1.5,75.7,7.7,13.4,3.2,79.2,8.1,10.8,1.9,83.6,8.6,7.5,0.3,,,,,,,,,,,,,,,,
Haiti,Americas,Latin America and the Caribbean,Caribbean,62.7,51.4,44.3,51.79999924,386,346,240,234,45,47,46,0.599,132,1998,0.25,,,1998,0.107,2012,12.9,,,,,8.5,52.4,22.3,16.9,8.9,52,27.6,11.5,8.7,53.7,33.7,4,18.8,17.4,15.4,48.3,20.8,19.7,21.7,37.8,24.4,24.4,29.8,21.4,,,,,,,,,,,,,,,,
Honduras,Americas,Latin America and the Caribbean,Central America,22,17.2,10.8,12.10000038,268,230,352,357,49,53,55,0.482,99,2005,0.372,,,2005,1.082,2011-2012,22.2,,,80.89518,80.41854858,60.1,12.7,6.1,21.1,73.3,7.5,6.9,12.3,88,1.5,7.2,3.3,48.2,4,15,32.9,63.3,5.1,11.2,20.4,80,6.5,6.7,6.9,,,,,,,,,,,,,,,,
Hungary,Europe,Europe,Eastern Europe,,,,,437,496,364,437,69,70,71,0.247,45,2011,2.96,,,2011,6.388,,,87.66199,96.56556,99.14046,100.5454407,86.6,9.1,4.3,0,91.6,7.4,1,0,,,0,0,100,0,0,0,100,0,0,0,100,0,0,0,7.044785976,5.410264969,2.696959972,35.87773895,3.320723295,10.95280457,10.39146519,31.23981667,0.889132261,11.28148651,10.40158463,35.926651,,,,
Iceland,Europe,Europe,Northern Europe,,,,,322,391,525,528,74,76,77,0.088,14,2012,3.476,,,2012,15.593,,,,110.87282,110.47859,108.9829407,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,13.15923309,15.733078,19.00247383,10.20856762,5.879145145,17.90312958,19.1333046,18.37937546,2.884604454,16.16882706,15.28268147,21.72876167,,,,
India,Asia,Asia,Southern Asia,25.5,21.1,18.5,15.19999981,219,273,354,362,34,35,38,0.563,127,2012,0.702,,,2011,1.711,2005-2006,21.7,,37.9465,62.42801,66.28901672,17,53.3,26.6,3.1,20.8,59.9,17.4,2,25.7,66.9,6.7,0.7,17.7,5.1,2.7,74.5,25.5,6.9,4.3,63.4,36,9.4,6.4,48.3,8.325040817,2.377346992,1.652678132,1.151120543,5.634479046,2.53356266,1.570582271,1.404594898,6.807428837,3.06730485,2.176000357,,,,,
Indonesia,Asia,Asia,South-Eastern Asia,22.2,19.9,11.3,8.699999809,138,186,266,298,27,28,33,0.5,103,2012,0.204,,,2012,1.383,2012,6.5,42.97019,,78.80399,83.88964844,9.3,60.4,24.2,6.1,14.8,62.9,18.3,3.9,20.6,64.3,13.1,2,35.2,6.5,18.2,40.1,47.1,8.4,13.8,30.6,58.8,10.3,9,21.9,7.642561913,9.071022987,2.42148757,,2.340477943,4.90296936,1.716934085,7.54849577,,,,,,,,
Iran,Asia,Asia,Southern Asia,,,5.1,,745,839,986,1065,38,39,45,0.51,109,2005,0.89,2004,0.362,2005,1.41,2010-2011,5.2,43.80656,76.11695,78.96997,83.443573,83.8,8.4,6.2,1.6,87.9,6.2,5,0.9,91.6,4.2,4.1,0,71.4,9.3,18.5,0.8,78.9,9.6,10.9,0.7,89.4,10.4,0,0.2,3.909445047,24.91532326,7.745398521,7.711847782,2.235368729,11.43743324,7.334147453,13.42566681,,,,,,,,
Iraq,Asia,Asia,Western Asia,10,20.9,25.9,23.5,637,483,507,424,33,39,40,0.542,120,2010,0.607,,,,,2011,11.8,,28.41409,,,75.3,3,6.5,15.2,75,5.1,7.6,12.4,74.4,11,10.9,3.7,,,,,75.2,9.2,10.3,5.4,84.7,10.1,5,0.2,,,,,,,,,,,,,,,,
Ireland,Europe,Europe,Northern Europe,,,,,404,378,617,621,67,69,65,0.115,20,2012,2.719,,,2004,15.197,,,103.80871,108.78957,123.8324,120.4009705,99.7,0.1,0.2,0,99.7,0.1,0.2,0,99.7,0.1,0.1,0,98.9,,1.1,,98.9,,1.1,,99,,1,,2.594855309,12.24823189,12.16270065,30.74276352,3.226747513,13.88996983,17.76747704,27.21702194,0.817455769,8.960162163,12.82072735,25.70178986,,,,
Israel,Asia,Asia,Western Asia,,,,,1030,1043,779,758,63,66,65,0.101,17,2011,3.346,,,2011,4.932,,,91.47479,103.03998,103.19269,102.7504807,99.8,0.2,0,0,99.9,0.1,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,2.084268332,10.16585827,4.044519424,8.743573189,0.699823081,15.48120117,7.618890285,19.63975906,,16.51702309,8.181277275,22.99337959,,,,
Italy,Europe,Europe,Southern Europe,,,,,825,942,783,782,66,67,67,0.067,8,2011,4.092,,,2003,5.44,,,78.85594,91.32531,99.78035,99.96131134,98.7,1.3,0,0,99.8,0.2,0,0,99.7,0.3,0,0,,,,,,,,,,,,,1.420402408,10.21443558,11.71818447,30.54431534,1.048800826,9.924487114,13.04214191,37.95153046,0.686053991,8.861178398,15.06314754,40.54250336,,,,
Jamaica,Americas,Latin America and the Caribbean,Caribbean,10.1,7.4,8.7,7.900000095,421,577,474,532,59,62,62,0.457,88,2008,0.411,2008,0.271,2008,1.092,2008,15.5,,87.64739,93.80957,91.0623703,61.4,32.1,2.3,4.2,66.3,27.1,3.4,3.2,70.4,22.8,4.6,2.3,79.5,16.8,3,0.7,79.8,17,2.4,0.8,80.2,17.1,1.7,1,,,,,1.804600358,4.297971725,3.298824787,1.495311022,,,,,,,,
Japan,Asia,Asia,Eastern Asia,,,,,458,450,405,418,58,59,59,0.138,25,2010,2.297,,,2012,11.489,,,96.78311,102.42522,101.7066,102.0065765,94.4,5.6,0,0,96.5,3.5,0,0,98.4,1.6,0,0,100,0,0,0,100,0,0,0,100,0,0,0,1.639983177,7.813019276,1.088510036,18.37185478,1.366979718,7.534622192,1.15314424,22.03177261,,,,,,,,
Jordan,Asia,Asia,Western Asia,6.1,7.9,,,436,416,491,510,49,50,53,0.488,101,2010,2.558,2004,0.178,2010,4.049,2009,3.5,77.62638,88.07463,91.53203,89.04923248,94.6,2.1,3,0.3,93.1,3.6,3.1,0.2,90.7,5.4,3.7,0.2,97.1,1.5,0.6,0.8,97.5,1.6,0.5,0.4,98.1,1.6,0.4,0,2.381675243,14.88887215,5.038682461,14.67321396,3.237769842,15.93303967,10.40795803,16.7058239,0.821653903,11.20357513,10.91275406,18.5476532,,,,
Kazakhstan,Asia,Asia,Central Asia,,15.3,,,,280,615,811,,51,53,0.323,59,2012,3.583,,,2012,8.247,2010-2011,2.3,,97.28851,94.70895,96.08679199,58.2,35.9,4,1.9,59.5,34.2,4.7,1.5,61,32,6.2,0.8,96.4,2.1,0.7,0.8,96.8,2.1,0.7,0.5,97.5,2,0.5,0,,,,,1.552762032,2.355437517,1.318751812,26.21263123,4.233597755,5.381049156,8.358302116,19.01856422,,,,
Kenya,Africa,Africa,Eastern Africa,34.8,32.2,26.3,24.29999924,193,282,340,286,45,44,45,0.548,122,2011,0.181,,,2011,0.792,2008-2009,25.9,,38.34074,,,17.8,25,16.2,41.1,19.1,32.8,15.7,32.5,20.3,41.4,15.5,22.9,24.6,19.9,37,18.6,26.9,22.5,34.5,16.2,29.6,25.9,31,13.5,10.18843269,19.84417343,5.369566441,0.117533319,5.478031158,28.98475647,5.435747623,3.040620565,4.618188381,22.98924446,5.411920071,4.69658041,,,,
Kiribati,Oceania,Oceania,Micronesia,9.1,7.3,6.9,,308,363,364,332,57,59,60,,,2010,0.376,,,2010,3.706,2009,8.7,37.24542,74.72328,,,25.7,23.8,50.4,,30.6,28.3,41.1,,34.5,32.3,33.2,,28,4.6,10.4,57.1,34.2,5.7,13.3,46.8,39.7,6.6,17.8,36,,,,,,,,,,,,,,,,
Kuwait,Asia,Asia,Western Asia,39.3,,,,456,856,578,648,52,60,57,0.288,50,2009,1.793,,,2009,4.55,,,72.83977,113.95683,,,,,1,,,,1,,,,1,,100,,0,0,100,,0,0,100,,0,0,1.211257577,14.92696762,7.766297817,12.93195534,0.49087593,18.82653618,8.460391045,23.2444191,,7.868088245,7.048634052,22.1385746,,,,
Kyrgyzstan,Asia,Asia,Central Asia,,16.8,8.3,6,,429,495,489,,41,45,0.348,64,2012,1.964,,,2012,6.123,2005-2006,2.3,101.97332,85.48759,83.46145,87.9917984,44,29,7.5,19.6,48.6,30.1,5.7,15.6,54,33.6,3,9.4,91.3,4.6,3.7,0.4,91.5,4.5,3.8,0.2,91.8,4.5,3.6,0,,,,,4.048021793,19.49699402,11.01833916,9.470890999,,19.82304764,10.59984779,18.30511665,,,,
Lao People's Democratic Republic,Asia,Asia,South-Eastern Asia,44.7,39.8,27.9,21.79999924,119,399,521,554,16,22,27,0.534,118,2012,0.182,,,2012,0.876,2011-2012,18.2,18.87719,28.08568,40.67606,43.32484818,,,,,11,34.5,27.8,26.7,24.9,46.6,21.5,7,,,,,28,1,8.9,62.2,64.6,2.3,4.2,28.9,,,,,,,,,,,,,,,,
Latvia,Europe,Europe,Northern Europe,,,,,,359,431,472,,59,65,0.222,42,2011,2.878,,,2011,4.73,,,,92.35515,97.64441,96.03437042,,,1.5,0,81.8,16.6,1.6,0,,,1.6,0,,,,,78.6,9.7,11.7,0,,,,,,,,,4.548968792,5.505878448,0.924818397,5.561309338,5.164529324,10.44458103,10.13343525,4.09690237,,,,
Lebanon,Asia,Asia,Western Asia,,,,,1430,1156,775,806,63,62,61,0.413,80,2011,3.2,,,2011,2.72,,,,98.14376,75.01345,74.27333832,,,0,0,97.9,2.1,0,0,,,0,0,,,,,98.2,,1.8,,,,,,,,,,0.25446713,7.608343601,2.890657187,3.882855892,,,,,,,,
Lesotho,Africa,Africa,Southern Africa,17,17.5,16.6,11.5,139,107,105,110,22,20,20,0.557,126,2003,0.049,,,2003,0.623,2009,13.2,31.07072,37.57092,59.31834,62.26047897,5.7,71.8,20.9,1.6,10.2,68.8,19.8,1.2,21.5,59.8,18.1,0.6,,,,,23.9,9.1,21.3,45.7,29.6,12.6,24.2,33.6,9.787062645,17.50618744,10.71805954,1.628485322,3.679270983,19.52870178,7.106910229,2.872687817,,,,,,,,
Liberia,Africa,Africa,Western Africa,29.6,34.8,30.2,29.60000038,216,249,197,195,33,36,31,0.655,145,2008,0.014,2004,0.041,2008,0.274,2009,37.8,,29.58884,,40.64488983,2.4,,,,2.7,58.5,25.1,13.7,3.6,71,12.7,12.7,,,,,13.6,18.2,21.1,47.1,16.8,23.5,12.3,47.4,3.80161643,11.82841873,5.524875164,1.082239985,2.00235796,13.29116917,6.778340816,1.043658257,,,,,,,,
Libya,Africa,Africa,Northern Africa,,,,,737,746,801,846,51,50,48,0.215,40,2009,1.9,,,2009,6.8,,,,,,,,,45.6,,,,45.6,,,,,,96.5,,3.5,,96.5,,3.5,,96.6,,3.4,,,,,,,,,,,,,,,,,
Liechtenstein,Europe,Europe,Western Europe,,,,,,,,,,,,,,,,,,,,,,,,100,101.0673828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Europe,Europe,Northern Europe,,,,,,447,377,458,,51,63,0.116,21,2012,4.116,,,2011,7.17,,,,97.14019,105.51327,103.4929581,74.3,12.9,12.9,,82,9,9,,91.7,4.1,4.1,,84.2,,15.8,,88.7,,13.1,,94.3,,5.7,,,,,,5.564529419,6.339434147,1.229789257,4.861248493,2.680307865,5.986159325,8.672007561,5.927428246,,,,
Luxembourg,Europe,Europe,Western Europe,,,,,,817,782,855,,75,73,0.154,29,2012,2.824,,,2012,12.466,,,,99.89144,102.54588,102.6069412,99.5,0.5,0,0,99.6,0.4,0,0,99.7,0.3,0,0,100,0,0,0,100,0,0,0,100,0,0,0,2.95582819,11.340909,11.0732317,39.46212387,1.21402657,11.50302219,10.90931034,41.72188568,1.040911794,12.08649921,11.61250687,43.13092041,,,,
Madagascar,Africa,Africa,Eastern Africa,24.4,32.4,30.2,30.5,232,183,178,181,26,23,21,,,2007,0.161,2004,0.022,2004,0.316,2008-2009,35.9,17.74179,,,37.12868118,6.5,22.1,30.1,41.3,6.6,31.5,26.1,35.8,6.6,43,21.1,29.3,7.9,11.6,27,53.6,10.6,15.5,27,46.9,13.9,20.6,26.8,38.7,14.4717207,15.00067711,6.116912842,2.373524904,,,,,,,,,,,,
Malawi,Africa,Africa,Eastern Africa,45.2,26.7,23.2,21.79999924,194,226,236,230,27,25,29,0.591,131,2009,0.019,2008,0.732,2009,0.343,2010,34.7,11.84015,27.48795,31.08552,32.40901184,5.6,36.5,40.6,17.2,7,55.5,27.2,10.3,7.7,77.3,12.4,2.6,9.6,6,55,29.4,10.2,6.4,64.6,18.8,10.3,6.4,76.2,7.1,9.927837372,12.19476604,7.493257523,16.08083534,4.907599449,12.85174465,6.449941158,4.139950275,,,,,,,,
Malaysia,Asia,Asia,South-Eastern Asia,,,,,210,247,308,310,55,54,52,0.21,39,2010,1.198,2010,0.444,2010,3.276,,,56.49697,69.05392,65.91984,66.29528809,72.8,15.4,10.7,1.1,89.4,7,2.7,0.9,,,0,0.4,84.4,3.5,7.2,4.8,92.3,3.9,2.1,1.7,95.7,4,0,0.3,6.72061491,21.45713997,5.32024765,4.889792442,3.26573801,33.57120132,7.628743649,9.192471504,6.74161911,24.61956024,7.171810627,8.746433258,,,,
Maldives,Asia,Asia,Southern Asia,11.3,9.7,6.5,6.199999809,127,332,496,520,50,57,60,0.283,49,2010,1.415,2010,2.17,2010,5.035,2009,1.4,,55.8484,,,12.9,80.3,6.8,,18.8,76.4,4.8,,42.6,56,1.4,,68,1.3,8.1,22.6,79.4,1.5,5.1,13.9,98.7,1.2,0.1,0,1.85847044,11.26519012,9.678341866,1.972837806,1.740939379,19.75254631,10.92010689,2.810321569,1.334077835,15.82069016,8.635402679,5.258103371,,,,
Mali,Africa,Africa,Western Africa,24.9,22.3,8.4,,213,228,243,246,31,32,30,0.673,148,2010,0.083,2010,0.007,2010,0.43,2006,46.3,4.85104,13.3257,34.90248,36.92602158,4.2,23.9,63.3,8.6,7.8,37.6,49.3,5.2,13.9,53.4,31.3,1.5,15.3,12.9,42.7,29.1,18.2,15.6,44.9,21.4,21.9,19.3,45.9,12.8,17.19432831,,,,14.52896309,,,,,,,,,,,
Malta,Europe,Europe,Southern Europe,,,,,577,779,748,798,65,63,66,0.22,41,2012,3.495,,,2012,7.09,,,79.2718,78.76404,93.97198,88.12834167,99.8,0,0.2,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,1.424205422,8.829461098,7.136307716,32.37469482,1.663199306,12.25544262,12.13852596,35.35371399,,,,,,,,
Marshall Islands,Oceania,Oceania,Micronesia,,,,,,,,,,,,,,2010,0.438,,,2010,1.74,2007,21.4,,,,,2.6,89.4,8,,2.7,90.4,6.9,,2.9,91.7,5.5,,64.6,10.4,16.5,8.5,70.1,11.3,10.8,7.9,76.2,12.2,4.5,7.2,,,,,,,,,,,,,,,,
Mauritania,Africa,Africa,Western Africa,12.9,9.7,8.5,6.5,38,61,81,95,45,50,51,0.644,142,2009,0.13,2009,0.284,2009,0.672,2007,19.2,8.34941,15.26407,18.69016,24.53059006,6.3,24,64,5.7,14.9,25.5,55,4.6,23.1,26.5,46.9,3.4,16.4,6.1,26.8,50.7,20.6,7.6,20.7,51.1,26.7,9.7,12.9,50.7,,,,,,,,,,,,,,,,
Mauritius,Africa,Africa,Eastern Africa,8.6,6.7,5.5,,163,330,358,362,51,53,53,0.375,72,2004,1.057,2004,0.191,2004,3.734,,,52.4739,75.52563,94.98062,97.83621979,98.8,0.4,0.6,0.2,98.9,0.3,0.6,0.2,99.8,0,0.2,0,88.9,8.4,2.7,0.1,89.1,8.4,2.4,0.1,90.8,8.5,0.6,0.1,7.10706234,8.827801704,8.538384438,5.353663921,4.24311924,8.049718857,8.049718857,6.706865788,3.772288799,13.07782841,10.01231003,21.94018173,,,,
Mexico,Americas,Latin America and the Caribbean,Central America,,,,,382,465,421,416,52,53,56,0.376,73,2011,2.095,,,2011,2.529,2010,39.2,52.88466,70.18298,86.5955,89.03488159,75.5,6.8,4.9,12.8,82.9,5.7,5.4,6,90.9,4,5.1,0,65.9,8.4,4.1,21.7,75.3,9.6,3.8,11.3,85.3,10.9,3.2,0.6,3.497790575,16.59996414,2.14781189,0.632883966,3.345078468,30.54480362,6.119878292,1.329850197,2.317849398,,,,,,,
Micronesia (Federated States of),Oceania,Oceania,Micronesia,,,,,,,,,,,,,,2009,0.177,2008,0.274,2009,3.319,,,,,,,,,2.2,6.8,,,2.9,7,37.2,51.8,4,7,19.4,,71.2,9.4,33.6,,56.8,9.6,57.2,,33.3,9.6,,,,,,,,,,,,,,,,
Monaco,Europe,Europe,Western Europe,,,,,,,,,,,,,,2012,7.167,,,2011,17.217,,,,,,,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,
Mongolia,Asia,Asia,Eastern Asia,38.4,37.5,25.7,22.39999962,51,76,193,211,56,54,52,0.32,54,2008,2.763,2008,0.022,2008,3.499,2010,2.4,,72.19757,94.82447,105.1055069,26.2,36.2,11.4,26.2,23.3,45.1,11.6,20,23.6,61,9.5,5.9,,,,,48.6,26,9.9,15.5,56.2,29.5,3.6,10.7,,,,,1.929789424,19.11053276,10.69504642,17.7001152,2.362372875,24.02562141,13.02974319,30.18398094,,,,
Montenegro,Europe,Europe,Southern Europe,,,,,,,1118,1090,,,76,,,2011,1.979,,,2011,5.249,,,,,99.24385,91.20754242,,,2.4,0.2,89.5,8.3,2,0.1,90.6,7.4,1.8,0.1,,,,,89.8,2.9,7.1,0.2,90,3,6.8,0.2,,,,,,,,,,,,,,,,
Morocco,Africa,Africa,Northern Africa,6.7,6.6,5.3,,427,439,589,621,36,36,40,0.46,92,2009,0.62,,,2009,0.89,2003-2004,7.5,30.63065,33.80747,58.04543,63.43785858,38.5,34.3,24.5,2.7,49.4,28.8,19.3,2.5,61,22.6,13.9,2.5,52.4,8.3,1.4,37.9,63.9,9.9,1.7,24.4,75.4,11.5,0.6,12.6,5.260802746,19.20700836,3.164741993,0.144555926,3.467414618,20.78115654,3.20717907,10.54636002,,,,,,,,
Mozambique,Africa,Africa,Eastern Africa,57.8,45.1,39.2,27.89999962,104,56,116,116,24,22,25,0.657,146,2012,0.04,,,2012,0.412,2011,40.2,5.00618,4.65943,22.75644,24.39707947,4.8,28.8,40.4,26,6.8,34.3,39.2,19.7,8.4,40.9,39.4,11.4,8.5,1.6,23.8,66.1,14.1,2.7,27.9,55.3,21,4.1,35.1,39.8,,,,,,,,,3.609382868,19.28530312,7.730232716,0.845327377,,,,
Myanmar,Asia,Asia,South-Eastern Asia,,,,16.70000076,177,245,320,332,,,,0.43,83,2012,0.612,2012,0.21,2012,1.003,2007,12.9,18.5467,36.74588,51.44013,,5.1,50.5,17.1,27.3,6.1,60.8,13.1,20,7.9,77.7,10.9,3.5,,,,,60.6,10.4,16.9,12.1,77.4,13.2,4.1,5.2,9.326870918,15.91441059,6.521827698,4.41496563,17.37678337,14.16691208,3.339133739,2.256672144,8.046769142,,,,,,,
Namibia,Africa,Africa,Southern Africa,36.2,27.7,34.6,37.20000076,126,132,144,155,39,39,43,0.45,87,2007,0.374,,,2007,2.775,2006-2007,17,42.28699,63.4952,,,31.9,35.4,24.6,8.2,39.5,39.6,11.3,9.6,47.4,44.3,0.5,7.8,23.6,7.8,5.9,62.6,27.7,9,5.7,57.6,32.2,10.5,5.3,52.1,,,,,5.553402901,24.95176125,11.19564056,7.46377182,,,,,,,,
Nauru,Oceania,Oceania,Micronesia,,,,,,,,,,,,,,2010,0.714,2009,0.214,2008,4.929,2007,21.5,,,,,,,,,,,7,,68.4,27.8,3.7,,65.7,30.8,2.6,0.9,65.7,30.8,2.6,0.9,65.6,30.7,1.2,2.5,,,,,,,,,,,,,,,,
Nepal,Asia,Asia,Southern Asia,25.4,24.3,18.2,13,201,257,427,455,23,25,28,0.479,98,2004,0.209,2004,0.63,2004,0.46,2011,19.4,20.49177,29.63875,59.56788,68.31568909,6,60.5,27,6.5,13.5,63.6,18.2,4.7,21.4,66.7,9,2.9,6.2,3.4,4.5,85.9,20.6,9.7,5.3,64.4,36.7,17,6,40.3,8.474680901,10.9490366,4.802731514,1.901991606,5.755502224,15.34526348,5.678192139,3.117084026,8.629254341,19.86471558,7.719250679,4.066355228,,,,
Netherlands,Europe,Europe,Western Europe,,,,,582,600,544,673,78,78,75,0.057,7,2003,3.149,,,2008,8.382,,,110.98903,121.03156,121.11854,128.7436829,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,1.278200269,15.45344067,10.65029621,34.89943314,0.797356606,11.34066486,11.18195152,35.38649368,0.473044723,11.49913597,16.30394173,33.70601654,,,,
New Zealand,Oceania,Oceania,Australia and New Zealand,,,,,561,695,635,566,73,70,72,0.185,34,2010,2.735,,,2007,10.87,,,88.95687,113.85996,121.8231,122.3879166,100,0,0,0,100,0,0,0,100,0,0,0,,,,,,,,,,,,,1.70839572,13.73000336,12.76476479,34.82889175,0.631430924,13.9256115,14.98368454,32.91127014,,14.46693039,16.19940758,26.54615021,,,,
Nicaragua,Americas,Latin America and the Caribbean,Central America,55.1,34.3,21.4,16.79999924,124,109,158,158,51,49,49,0.458,90,2003,0.374,,,2003,1.072,2001,28.1,,57.01867,72.2085,,51.3,22.5,17.8,8.3,57.8,22.2,14.7,5.3,63.5,21.5,12,3,43.1,6.1,27.2,23.6,48,6.9,29,16.1,52.1,7.5,30,10.4,,,,,,,,,,,,,,,,
